plot,year,corner,scale,spcode
226,1998,2,1,sorgnuta
226,1998,3,0.1,sorgnuta
226,1998,4,1,sorgnuta
226,1998,1,10,spheobtu
226,1998,2,1,spheobtu
226,1998,3,1,spheobtu
226,1998,1,1,sporcomp
226,1998,2,0.1,sporcomp
226,1998,3,10,sporcomp
226,1998,4,1,sporcomp
226,1998,2,10,symporbi
226,1998,3,10,symporbi
226,1998,4,10,tradohie
226,1998,3,0.1,tridflav
226,1998,4,1,tridflav
226,1998,1,1,vernbald
226,1998,2,10,vernbald
226,1998,3,10,vernbald
226,1998,4,10,vernbald
238,1998,2,0.1,acalvirg
238,1998,3,0.1,acalvirg
238,1998,1,1,achimill
238,1998,2,10,achimill
238,1998,3,1,achimill
238,1998,4,10,achimill
238,1998,2,1,agrohyem
238,1998,3,10,agrohyem
238,1998,2,10,ambrarte
238,1998,1,0.01,ambrbide
238,1998,2,0.1,ambrbide
238,1998,3,0.1,ambrbide
238,1998,4,0.01,ambrbide
238,1998,1,1,ambrpsil
238,1998,2,1,ambrpsil
238,1998,3,10,ambrpsil
238,1998,4,1,ambrpsil
238,1998,1,10,amorcane
238,1998,2,10,amorcane
238,1998,1,0.1,amphdrac
238,1998,1,0.01,andrgera
238,1998,2,1,andrgera
238,1998,3,0.01,andrgera
238,1998,4,0.1,andrgera
238,1998,1,0.1,antenegl
238,1998,1,10,arteludo
238,1998,1,0.1,asclviri
238,1998,2,10,asclviri
238,1998,3,10,asclviri
238,1998,4,10,asclviri
238,1998,1,10,asteeric
238,1998,2,10,asteeric
238,1998,4,1,asteeric
238,1998,3,0.1,asteoole
238,1998,4,10,asteoole
238,1998,1,10,astepate
238,1998,4,10,astepate
238,1998,3,1,baptbrac
238,1998,4,10,baptbrac
238,1998,1,10,bromjapo
238,1998,2,10,bromjapo
238,1998,3,10,callalca
238,1998,4,10,calyserr
238,1998,1,10,carebush
238,1998,2,10,carebush
238,1998,2,10,careceph
238,1998,4,1,carefest
238,1998,4,10,caregrav
238,1998,2,1,caremicr
238,1998,3,0.1,caremicr
238,1998,4,0.01,caremicr
238,1998,1,0.1,chrypilo
238,1998,2,10,chrypilo
238,1998,3,0.1,chrypilo
238,1998,4,1,chrypilo
238,1998,1,10,cirsundu
238,1998,1,1,conycana
238,1998,3,10,conycana
238,1998,4,10,conycana
238,1998,2,10,cypeechi
238,1998,4,10,cypeechi
238,1998,3,10,cypelupu
238,1998,NA,100,dalecand
238,1998,1,10,dichacum
238,1998,3,1,dichacum
238,1998,4,1,dichacum
238,1998,1,1,dicholig
238,1998,2,0.1,dicholig
238,1998,3,0.1,dicholig
238,1998,3,10,dichspha
238,1998,4,10,dichspha
238,1998,1,10,digicogn
238,1998,2,1,digicogn
238,1998,3,1,digicogn
238,1998,2,0.1,eleomont
238,1998,2,0.1,elymcana
238,1998,3,10,elymcana
238,1998,3,1,eragspec
238,1998,4,1,eragspec
238,1998,1,0.1,erigstri
238,1998,2,1,erigstri
238,1998,3,1,erigstri
238,1998,4,1,erigstri
238,1998,1,1,fimbpube
238,1998,2,1,fimbpube
238,1998,3,0.1,fimbpube
238,1998,4,1,fimbpube
238,1998,1,10,gamopurp
238,1998,2,10,gamopurp
238,1998,3,10,gamopurp
238,1998,4,10,gamopurp
238,1998,2,10,geracaro
238,1998,1,10,juncinte
238,1998,2,1,juncinte
238,1998,3,10,juncinte
238,1998,4,10,juncinte
